ODS,Organisation,ClosedDate,PartyKey,ASID,Supplier,Product,Version,EndpointCreated,CCGCode,CCG
A12355,"EMIS TEST SURGERY","",A12355,"","EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","","",20130408,"",TEST
A29928,"EMIS TEST SURGERY","",A29928,9.01E+11,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","EMIS Web","Config 5 LM with GPES",11111111,05T,TEST
A81001,"THE DENSHAM SURGERY","",A81001-829975,200000019886,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81002,"QUEENS PARK MEDICAL CENTRE","",A81002-829976,200000019887,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81004,"ACKLAM MEDICAL CENTRE","",A81004-811851,200000021180,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81005,"SPRINGWOOD SURGERY","",A81005-811852,200000021181,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81006,"TENNANT STREET MEDICAL PRACTICE","",A81006-829977,200000019888,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81007,"BANKHOUSE SURGERY","",A81007-816103,200000023975,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20201016,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81009,"VILLAGE MEDICAL CENTRE","",YGA-0021074,200000033055,"THE PHOENIX PARTNERSHIP",SystmOne,"CareConnect Booking Provider",20211210,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81011,"CHADWICK PRACTICE","",A81011-829978,200000019889,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81012,"WESTBOURNE MEDICAL CENTRE","",A81012-811854,200000021183,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81013,"BROTTON SURGERY","",A81013-811855,200000021184,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81014,"QUEENSTREE PRACTICE","",A81014-829979,200000019890,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81015,"LAGAN SURGERY","",YGA-0021074,2.00E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20180404,00M,"NHS SOUTH TEES CCG"
A81016,"PARK SURGERY","",A81016-811856,200000021185,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81017,"WOODBRIDGE PRACTICE","",A81017-829980,200000019891,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81018,"BENTLEY MEDICAL PRACTICE","",A81018-811857,200000021186,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81019,"CROSSFELL HEALTH CENTRE","",A81019-811858,200000021187,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81020,"MARTONSIDE MEDICAL CENTRE","",A81020-811859,200000021188,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81021,"NORMANBY MEDICAL CENTRE","",A81021-811809,200000021140,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81022,"HILLSIDE PRACTICE","",A81022-811860,200000021189,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81023,"THE ENDEAVOUR PRACTICE","",A81023-811861,200000021190,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81025,"THE DOVECOT SURGERY","",A81025-829981,200000019892,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81026,"LINTHORPE SURGERY","",A81026-811862,200000021191,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81027,"YARM MEDICAL PRACTICE","",A81027-829982,200000019893,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81029,"PROSPECT SURGERY","",A81029-811863,200000021192,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81030,"BOROUGH ROAD & NUNTHORPE MEDICAL GROUP","",A81030-811864,200000021193,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81031,"HAVELOCK GRANGE PRACTICE","",A81031-829983,200000019894,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
