ODS,Organisation,ClosedDate,PartyKey,ASID,Supplier,Product,Version,EndpointCreated,CCGCode,CCG
A81001,THE DENSHAM SURGERY,,YGA-0021074,285699981046,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81001,THE DENSHAM SURGERY,,A81001-829975,200000019886,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81002,QUEENS PARK MEDICAL CENTRE,,YGA-0021074,164987936048,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81002,QUEENS PARK MEDICAL CENTRE,,A81002-829976,200000019887,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81004,ACKLAM MEDICAL CENTRE,,YGA-0021074,869740579048,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81004,ACKLAM MEDICAL CENTRE,,A81004-811851,200000021180,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81005,SPRINGWOOD SURGERY,,YGA-0021074,375918315017,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20130204,16C,NHS TEES VALLEY CCG
A81005,SPRINGWOOD SURGERY,,A81005-811852,200000021181,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81006,TENNANT STREET MEDICAL PRACTICE,,YGA-0021074,963871498043,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81006,TENNANT STREET MEDICAL PRACTICE,,A81006-829977,200000019888,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81007,BANKHOUSE SURGERY,,YGA-0021074,200000023959,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20201015,16C,NHS TEES VALLEY CCG
A81007,BANKHOUSE SURGERY,,A81007-816103,200000023975,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20201016,16C,NHS TEES VALLEY CCG
A81009,VILLAGE MEDICAL CENTRE,,YGA-0021074,113586669047,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81009,VILLAGE MEDICAL CENTRE,,A81009-811853,200000021182,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81009,VILLAGE MEDICAL CENTRE,,YGA-0021074,200000033055,THE PHOENIX PARTNERSHIP,SystmOne,CareConnect Booking Provider,20211210,16C,NHS TEES VALLEY CCG
A81011,CHADWICK PRACTICE,,YGA-0021074,657408310040,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81011,CHADWICK PRACTICE,,A81011-829978,200000019889,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81012,WESTBOURNE MEDICAL CENTRE,,YGA-0021074,046188791043,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81012,WESTBOURNE MEDICAL CENTRE,,A81012-811854,200000021183,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81013,BROTTON SURGERY,,YGA-0021074,200000001119,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20150828,16C,NHS TEES VALLEY CCG
A81013,BROTTON SURGERY,,A81013-811855,200000021184,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81014,QUEENSTREE PRACTICE,,YGA-0021074,758718443016,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20141104,16C,NHS TEES VALLEY CCG
A81014,QUEENSTREE PRACTICE,,A81014-829979,200000019890,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81015,LAGAN SURGERY,20190501,YGA-0021074,200000010317,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20180404,00M,NHS SOUTH TEES CCG
A81016,PARK SURGERY,,YGA-0021074,546253393047,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81016,PARK SURGERY,,A81016-811856,200000021185,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81017,WOODBRIDGE PRACTICE,,YGA-0021074,527245734043,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81017,WOODBRIDGE PRACTICE,,A81017-829980,200000019891,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81018,BENTLEY MEDICAL PRACTICE,,YGA-0021074,616755059048,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81018,BENTLEY MEDICAL PRACTICE,,A81018-811857,200000021186,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81019,CROSSFELL HEALTH CENTRE,,YGA-0021074,800792063045,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81019,CROSSFELL HEALTH CENTRE,,A81019-811858,200000021187,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81020,MARTONSIDE MEDICAL CENTRE,,YGA-0021074,338432185043,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81020,MARTONSIDE MEDICAL CENTRE,,A81020-811859,200000021188,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81021,NORMANBY MEDICAL CENTRE,,A81021-818146,281067046041,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20141108,16C,NHS TEES VALLEY CCG
A81021,NORMANBY MEDICAL CENTRE,,A81021-811809,200000021140,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81022,HILLSIDE PRACTICE,,YGA-0021074,666571084019,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140312,16C,NHS TEES VALLEY CCG
A81022,HILLSIDE PRACTICE,,A81022-811860,200000021189,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81023,THE ENDEAVOUR PRACTICE,,A81023-805763,487384791017,IN PRACTICE SYSTEMS LTD,Vision 3,DLM 380 QMT 3101 CONFIG 7,20110217,16C,NHS TEES VALLEY CCG
A81023,THE ENDEAVOUR PRACTICE,,YGA-0021074,200000009124,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20170921,16C,NHS TEES VALLEY CCG
A81023,THE ENDEAVOUR PRACTICE,,A81023-811861,200000021190,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81025,THE DOVECOT SURGERY,,YGA-0021074,186630671045,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81025,THE DOVECOT SURGERY,,A81025-829981,200000019892,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81026,LINTHORPE SURGERY,,YGA-0021074,505074584044,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81026,LINTHORPE SURGERY,,A81026-811862,200000021191,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
A81027,YARM MEDICAL PRACTICE,,YGA-0021074,214291733043,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81027,YARM MEDICAL PRACTICE,,A81027-829982,200000019893,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191211,16C,NHS TEES VALLEY CCG
A81029,PROSPECT SURGERY,,YGA-0021074,735078482040,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,16C,NHS TEES VALLEY CCG
A81029,PROSPECT SURGERY,,A81029-811863,200000021192,THE PHOENIX PARTNERSHIP,TPP,GP Connect,20191218,16C,NHS TEES VALLEY CCG
