==================================================================
Job Run - Mon 2 Dec 2019 13:13:23 GMT
ODS,Organisation,ClosedDate,PartyKey,ASID,Supplier,Product,Version,EndpointCreated,CCGCode,CCG
A12355,"EMIS TEST SURGERY","",A12355,"","EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","","",20130408,"",TEST
A21410,"MICROTEST TEST SURGERY","",A21410,"","MICROTEST LTD","","",20130408,"",TEST
A29928,"EMIS TEST SURGERY","",A29928,9.01E+11,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","EMIS Web","Config 5 LM with GPES",11111111,05T,TEST
A81015,"LAGAN SURGERY","",YGA-0021074,2.00E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20180404,00M,"NHS SOUTH TEES CCG"
A83004,"AVENUE FAMILY PRACTICE","",YGA-0021074,243636418044,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20141017,00D,"NHS DURHAM DALES EASINGTON AND SEDGEFIELD CCG"
A83017,"PHOENIX MEDICAL GROUP","",YGA-0021074,6.98E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20140121,00D,"NHS DURHAM DALES EASINGTON AND SEDGEFIELD CCG"
A86015,"HOLLY MEDICAL GROUP","",YGA-0021074,7.24E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20130308,13T,"NHS NEWCASTLE GATESHEAD CCG"
A87027,"GARDEN PARK SURGERY","",YGA-0021074,200000014980,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20190625,99C,"NHS NORTH TYNESIDE CCG"
A88603,"THE PARK SURGERY","",A88603-817546,693591370012,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","EMIS Web","Config 3 LM with GPES",20140815,00N,"NHS SOUTH TYNESIDE CCG"
B81050,"HEDON GROUP PRACTICE","",B81050-806560,938280086043,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","EMIS Web","Config 6 LM with GPES",20110913,02Y,"NHS EAST RIDING OF YORKSHIRE CCG"
B81053,"DIADEM MEDICAL PRACTICE",0,YGA-0021074,7.84E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20120621,03F,"NHS HULL CCG"
B81056,"THE SPRINGHEAD MEDICAL CENTRE",0,YGA-0021074,2.00E+11,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20171114,03F,"NHS HULL CCG"
B81062,"HOLDERNESS HEALTH (CHURCH VIEW SURGERY)",0,B81062-816137,3.65E+11,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)","EMIS Web","Config 6 LM with GPES",20140127,02Y,"NHS EAST RIDING OF YORKSHIRE CCG"
B81066,"DR GM CHOWDHURY'S PRACTICE","",YGA-0021074,709514404041,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20140121,03F,"NHS HULL CCG"
B81080,"EAST HULL FAMILY PRACTICE","",YGA-0021074,942083621048,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20140121,03F,"NHS HULL CCG"
B81602,"HANCOCKS ME","",YGA-0021074,213308390045,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20140121,02Y,"NHS EAST RIDING OF YORKSHIRE CCG"
