odsCode,name
B84002,Spring Hall Group Practice - Queens
B87030,Health Care First
C82038,Latham House Medical Practice
C82078,Jubilee Medical Practice
E81050,Asplands
F84601,Elsdale Street Surgery
G81031,Harold Rd Surgery
G81048,Carisbrooke Surgery
G81658,The Station Practice
K82015,Parkside Milton Keynes Community Health Services
K83056,County Surgery
L85002,Wells Health Centre
L85033,Langport Surgery
G81051,Rye Medical Centre
K84051,The White Horse Medical Practice
B82033,Pickering Medical Practice
B82054,Scarborough Medical Group
B81009,Market Weighton Group Practice
C82028,Markfield Medical Centre
C82061,Barwell & Hollycroft Medical Centres
B82628,Hunmanby Surgery
K83013,Eskdaill Medical
C82656,Field Street Surgery
C82066,Forest House Medical Ctr
B84011,Church Lane Surgery
B87032,Station Lane
M81063,St Johns House Surgery
C82102,Manor House Surgery
K84046,Wychwood Surgery
B84010,Keighley Road Surgery
G81003,The Lighthouse Medical Practice
B81006,Humber Primary Care Ltd
Y00080,Harbour Medical Practice
B81003,Beacon Medical
B81011,Kingston Health (Hull)
B81024,The Willerby Surgery
B81035,The Avenues Medical Centre
B81038,Dr Ia Galea And Partners
B81042,Manor Road Surgery
B81045,Ashby Turn Primary Care Partners
B81052,Princes Medical Centre
B81088,Howden Medical Practice
B81100,Dr Ac Milner
B82079,Stillington Surgery
B84005,Rosegarth Surgery
B84006,Todmorden Group Practice
B84008,Dr Chin And Partners
B84014,Rastrick Health Centre
B84019,The Boulevard Medical Practice
B84612,Lister Lane Surgery
B84623,Longroyde Surgery
B85019,Doctor Lane Health Centre
B85041,Mount Pleasant Med Centre
B85055,Healds Road Surgery
B85619,Cook Lane Surgery
B85620,Windsor Medical Centre
B85622,Broughton House Surgery
B86055,Ashfield Medical Centre
B87001,Middlestown
B87007,Northgate
B87008,Lupset Health Centre
B87011,Friarwood Surgery
B87012,Maybush Medical Centre
B87016,White Rose Surgery
B87018,Henry Moore Clinic
B87022,Homestead
B87026,The Grange Medical Centre
B87033,Newland Surgery
B87602,Patience Lane Surgery
C81017,Arthur Medical Centre
C81066,Overdale Medical Practice
C82002,Countesthorpe Health Centre
C82014,Castle Medical Group
C82020,De Montfort Surgery
C82032,Dr Nw Osborne's Practice
C82039,Kingsway Surgery
C82046,Saffron Group Practice
C82062,Barrow Health Centre
C82068,Northfield Medical Centre
C82072,Broom Leys Surgery
C82073,Merridale Medical Centre (Rp Tew)
C82610,The Parks Medical Centre (B Hainsworth)
C82624,The Practice Beaumont Leys
C82627,Silverdale Medical Centre
C82631,Enderby Medical Centre
E81076,Dr Dv Shah's Practice
G81004,Downlands Medical Centre
G81008,Stone Cross Surgery
G81012,Bridgeside Surgery
G81059,Hailsham Medical Group
G81082,Oldwood Surgery
G81089,South Saxon House Surgery
G81096,Sedlescombe House
G81634,Herstmonceux Integrative Health Centre
G81641,Priory Road Surgery
K83017,Wansford
L85012,Wellington Medical Centre
L85611,Oakhill Surgery
L85624,Church View Medical Centre
L85008,Frome Medical Centre
E81014,Priory Gardens Surgery
B81027,St Andrews Surgery
B81069,Practice 3, Medical Centre, Bridlington
B81108,Dr A Sinha
B81663,Core Care Family Practice
B85008,Batley Health Centre Surgery
B85009,North Road Suite,ravensthorpe Health Ctr
B87006,Park Green Surgery
B87017,Trinity Medical Centre
B87021,Ash Grove
C82052,Dr Am Lewis' Practice
C82053,Hockley Farm Med Pract (A Nana)
G81032,Victoria Medical Centre
G81049,Manor Park Medical Centre
G81098,Quintins Medical Centre
L85034,Wells City Practice
L85061,The Meadows Surgery
B84003,Rydings Hall Surgery
