odsCode,overridingSupplier,date,reason
B83614,accurx,2022-06-06,accurx rollout
L83038,accurx,2022-06-06,accurx rollout
L83026,accurx,2022-06-06,accurx rollout
A86040,accurx,2022-06-06,accurx rollout
C81052,accurx,2022-06-06,accurx rollout
G82112,accurx,2022-06-06,accurx rollout
N81060,econsult,2022-06-22,confirmed by NHSE&I to be econsult
L82029,accurx,2022-06-22,accurx rollout
L84048,econsult,2022-07-04,confirmed by NHSE&I to be econsult
A84036,econsult,2022-07-11,practice website states move from accurx to econsult
Y03023,accurx,2022-08-30,requested by Pavandeep Sandhu on sjr updates slack channel
F84083,econsult,2022-10-06,confirmed by Glenn Armitage
P85019,econsult,2022-10-14,confirmed by Glenn Armitage
P85610,econsult,2022-10-14,confirmed by Glenn Armitage
G82687,econsult,2022-10-30,confirmed by Glenn Armitage
