odsCode,grouping
K83047,area_northhampton
K83048,area_northhampton
K83049,area_northhampton
K83050,area_northhampton
K83051,area_northhampton
K83052,area_northhampton
K83053,area_northhampton
K83055,area_northhampton
K83056,area_northhampton
K83059,area_northhampton
K83064,area_northhampton
K83065,area_northhampton
K83066,area_northhampton
K83068,area_northhampton
K83069,area_northhampton
K83070,area_northhampton
K83076,area_northhampton
K83077,area_northhampton
K83079,area_northhampton
K83080,area_northhampton
K83081,area_northhampton
K83601,area_northhampton
K83607,area_northhampton
K83610,area_northhampton
K83614,area_northhampton
K83616,area_northhampton
K83618,area_northhampton
K83620,area_northhampton
K83621,area_northhampton
K83622,area_northhampton
K83625,area_northhampton
Y00399,area_northhampton
Y01139,area_northhampton
C81018,area_staffordshire
M83001,area_staffordshire
M83004,area_staffordshire
M83005,area_staffordshire
M83006,area_staffordshire
M83007,area_staffordshire
M83009,area_staffordshire
M83010,area_staffordshire
M83011,area_staffordshire
M83012,area_staffordshire
M83013,area_staffordshire
M83014,area_staffordshire
M83015,area_staffordshire
M83016,area_staffordshire
M83017,area_staffordshire
M83018,area_staffordshire
M83020,area_staffordshire
M83021,area_staffordshire
M83022,area_staffordshire
M83023,area_staffordshire
M83024,area_staffordshire
M83025,area_staffordshire
M83026,area_staffordshire
M83027,area_staffordshire
M83028,area_staffordshire
M83030,area_staffordshire
M83031,area_staffordshire
M83032,area_staffordshire
M83033,area_staffordshire
M83034,area_staffordshire
M83035,area_staffordshire
M83036,area_staffordshire
M83037,area_staffordshire
M83038,area_staffordshire
M83042,area_staffordshire
M83044,area_staffordshire
M83045,area_staffordshire
M83046,area_staffordshire
M83047,area_staffordshire
M83048,area_staffordshire
M83049,area_staffordshire
M83050,area_staffordshire
M83051,area_staffordshire
M83052,area_staffordshire
M83054,area_staffordshire
M83056,area_staffordshire
M83057,area_staffordshire
M83059,area_staffordshire
M83061,area_staffordshire
M83062,area_staffordshire
M83063,area_staffordshire
M83065,area_staffordshire
M83066,area_staffordshire
M83067,area_staffordshire
M83068,area_staffordshire
M83069,area_staffordshire
M83070,area_staffordshire
M83071,area_staffordshire
M83072,area_staffordshire
M83073,area_staffordshire
M83074,area_staffordshire
M83075,area_staffordshire
M83076,area_staffordshire
M83079,area_staffordshire
M83082,area_staffordshire
M83084,area_staffordshire
M83088,area_staffordshire
M83089,area_staffordshire
M83090,area_staffordshire
M83092,area_staffordshire
M83093,area_staffordshire
M83094,area_staffordshire
M83096,area_staffordshire
M83097,area_staffordshire
M83100,area_staffordshire
M83102,area_staffordshire
M83103,area_staffordshire
M83107,area_staffordshire
M83108,area_staffordshire
M83109,area_staffordshire
M83110,area_staffordshire
M83111,area_staffordshire
M83113,area_staffordshire
M83117,area_staffordshire
M83121,area_staffordshire
M83122,area_staffordshire
M83123,area_staffordshire
M83125,area_staffordshire
M83126,area_staffordshire
M83127,area_staffordshire
M83129,area_staffordshire
M83130,area_staffordshire
M83132,area_staffordshire
M83138,area_staffordshire
M83139,area_staffordshire
M83140,area_staffordshire
M83141,area_staffordshire
M83143,area_staffordshire
M83146,area_staffordshire
M83148,area_staffordshire
M83601,area_staffordshire
M83608,area_staffordshire
M83616,area_staffordshire
M83617,area_staffordshire
M83619,area_staffordshire
M83623,area_staffordshire
M83624,area_staffordshire
M83625,area_staffordshire
M83627,area_staffordshire
M83632,area_staffordshire
M83637,area_staffordshire
M83638,area_staffordshire
M83640,area_staffordshire
M83641,area_staffordshire
M83650,area_staffordshire
M83661,area_staffordshire
M83668,area_staffordshire
M83670,area_staffordshire
M83680,area_staffordshire
M83681,area_staffordshire
M83682,area_staffordshire
M83691,area_staffordshire
M83693,area_staffordshire
M83697,area_staffordshire
M83698,area_staffordshire
M83700,area_staffordshire
M83701,area_staffordshire
M83703,area_staffordshire
M83705,area_staffordshire
M83706,area_staffordshire
M83709,area_staffordshire
M83711,area_staffordshire
M83713,area_staffordshire
M83715,area_staffordshire
M83717,area_staffordshire
M83718,area_staffordshire
M83719,area_staffordshire
M83723,area_staffordshire
M83725,area_staffordshire
M83727,area_staffordshire
M83738,area_staffordshire
Y00078,area_staffordshire
Y02354,area_staffordshire
Y02414,area_staffordshire
Y02521,area_staffordshire
Y02594,area_staffordshire
Y02867,area_staffordshire
E87002,area_westminster
E87005,area_westminster
E87006,area_westminster
E87008,area_westminster
E87009,area_westminster
E87010,area_westminster
E87011,area_westminster
E87034,area_westminster
E87037,area_westminster
E87038,area_westminster
E87046,area_westminster
E87052,area_westminster
E87069,area_westminster
E87070,area_westminster
E87609,area_westminster
E87637,area_westminster
E87648,area_westminster
E87663,area_westminster
E87677,area_westminster
E87681,area_westminster
E87691,area_westminster
E87694,area_westminster
E87714,area_westminster
E87722,area_westminster
E87737,area_westminster
E87739,area_westminster
E87740,area_westminster
E87741,area_westminster
E87745,area_westminster
E87751,area_westminster
E87753,area_westminster
E87754,area_westminster
E87755,area_westminster
E87756,area_westminster
E87768,area_westminster
E87772,area_westminster
Y00902,area_westminster
Y02260,area_westminster
Y02842,area_westminster
E81002,ccg_bedfordshire
E81003,ccg_bedfordshire
E81004,ccg_bedfordshire
E81005,ccg_bedfordshire
E81007,ccg_bedfordshire
E81008,ccg_bedfordshire
E81009,ccg_bedfordshire
E81010,ccg_bedfordshire
E81012,ccg_bedfordshire
E81013,ccg_bedfordshire
E81014,ccg_bedfordshire
E81015,ccg_bedfordshire
E81016,ccg_bedfordshire
E81018,ccg_bedfordshire
E81019,ccg_bedfordshire
E81021,ccg_bedfordshire
E81022,ccg_bedfordshire
E81024,ccg_bedfordshire
E81025,ccg_bedfordshire
E81027,ccg_bedfordshire
E81028,ccg_bedfordshire
E81029,ccg_bedfordshire
E81030,ccg_bedfordshire
E81031,ccg_bedfordshire
E81032,ccg_bedfordshire
E81033,ccg_bedfordshire
E81034,ccg_bedfordshire
E81035,ccg_bedfordshire
E81036,ccg_bedfordshire
E81037,ccg_bedfordshire
E81038,ccg_bedfordshire
E81040,ccg_bedfordshire
E81041,ccg_bedfordshire
E81043,ccg_bedfordshire
E81044,ccg_bedfordshire
E81045,ccg_bedfordshire
E81046,ccg_bedfordshire
E81047,ccg_bedfordshire
E81048,ccg_bedfordshire
E81049,ccg_bedfordshire
E81050,ccg_bedfordshire
E81052,ccg_bedfordshire
E81057,ccg_bedfordshire
E81060,ccg_bedfordshire
E81061,ccg_bedfordshire
E81063,ccg_bedfordshire
E81064,ccg_bedfordshire
E81065,ccg_bedfordshire
E81069,ccg_bedfordshire
E81073,ccg_bedfordshire
E81074,ccg_bedfordshire
E81076,ccg_bedfordshire
E81077,ccg_bedfordshire
E81612,ccg_bedfordshire
E81615,ccg_bedfordshire
E81631,ccg_bedfordshire
E81632,ccg_bedfordshire
E81633,ccg_bedfordshire
E81635,ccg_bedfordshire
Y00260,ccg_bedfordshire
Y00328,ccg_bedfordshire
Y00522,ccg_bedfordshire
Y00560,ccg_bedfordshire
Y00561,ccg_bedfordshire
Y02332,ccg_bedfordshire
Y02463,ccg_bedfordshire
E84002,ccg_brent
E84003,ccg_brent
E84006,ccg_brent
E84007,ccg_brent
E84011,ccg_brent
E84013,ccg_brent
E84015,ccg_brent
E84017,ccg_brent
E84020,ccg_brent
E84021,ccg_brent
E84025,ccg_brent
E84028,ccg_brent
E84030,ccg_brent
E84031,ccg_brent
E84032,ccg_brent
E84033,ccg_brent
E84036,ccg_brent
E84042,ccg_brent
E84048,ccg_brent
E84049,ccg_brent
E84051,ccg_brent
E84063,ccg_brent
E84066,ccg_brent
E84067,ccg_brent
E84074,ccg_brent
E84076,ccg_brent
E84077,ccg_brent
E84078,ccg_brent
E84080,ccg_brent
E84083,ccg_brent
E84086,ccg_brent
E84620,ccg_brent
E84626,ccg_brent
E84635,ccg_brent
E84637,ccg_brent
E84638,ccg_brent
E84645,ccg_brent
E84656,ccg_brent
E84665,ccg_brent
E84667,ccg_brent
E84674,ccg_brent
E84678,ccg_brent
E84684,ccg_brent
E84685,ccg_brent
E84696,ccg_brent
E84699,ccg_brent
E84701,ccg_brent
E84702,ccg_brent
E84704,ccg_brent
E84709,ccg_brent
Y00206,ccg_brent
Y01090,ccg_brent
Y02692,ccg_brent
G81018,ccg_brighton
G81036,ccg_brighton
G81038,ccg_brighton
G81042,ccg_brighton
G81646,ccg_brighton
G81001,ccg_brighton
G81002,ccg_brighton
G81003,ccg_brighton
G81004,ccg_brighton
G81008,ccg_brighton
G81011,ccg_brighton
G81012,ccg_brighton
G81014,ccg_brighton
G81016,ccg_brighton
G81017,ccg_brighton
G81019,ccg_brighton
G81021,ccg_brighton
G81022,ccg_brighton
G81023,ccg_brighton
G81025,ccg_brighton
G81026,ccg_brighton
G81027,ccg_brighton
G81028,ccg_brighton
G81029,ccg_brighton
G81031,ccg_brighton
G81032,ccg_brighton
G81034,ccg_brighton
G81035,ccg_brighton
G81039,ccg_brighton
G81044,ccg_brighton
G81045,ccg_brighton
G81046,ccg_brighton
G81047,ccg_brighton
G81048,ccg_brighton
G81049,ccg_brighton
G81051,ccg_brighton
