odsCode,name,grouping
A12355,EMIS TEST SURGERY,none
Y00926,CLAY CROSS CLINIC,RFS
C81001,SPRINGS HEALTH CENTRE,RFS
C81002,THE VALLEYS MEDICAL PARTNERSHIP,RFS
C81003,SETT VALLEY MEDICAL CENTRE,RFS
C81004,IVY GROVE SURGERY,RFS
C81005,JESSOP MEDICAL PRACTICE,RFS
C81006,HORIZON HEALTHCARE,RFS
C81007,VERNON STREET MEDICAL CTR,RFS
C81008,ROYAL PRIMARY CARE CLAY CROSS,RFS
C81009,WILSON STREET SURGERY,RFS
C81010,THE MOIR MEDICAL CENTRE,RFS
C81012,THE SURGERY AT WHEATBRIDGE,RFS
C81013,BASLOW HEALTH CENTRE,RFS
C81014,DERWENT VALLEY MEDICAL PRACTICE,RFS
C81015,NEWBOLD SURGERY,RFS
C81016,PEAK & DALES MEDICAL PARTNERSHIP,RFS
C81017,ARTHUR MEDICAL CENTRE,RFS
C81019,WELLSIDE MEDICAL CENTRE,RFS
C81020,NEWHALL SURGERY,RFS
C81021,OLD STATION SURGERY,RFS
C81022,DR WEBB AND PARTNERS,RFS
C81023,THE AITUNE MEDICAL PRACTICE,RFS
C81025,DRONFIELD MEDICAL PRACTICE,RFS
C81026,ADAM HOUSE MEDICAL CENTRE,RFS
C81027,SOMERCOTES MEDICAL CENTRE,RFS
C81028,IMPERIAL ROAD SURGERY,RFS
C81029,STAFFA HEALTH,RFS
C81030,CREDAS MEDICAL,RFS
C81031,PARK SURGERY,RFS
C81032,SWADLINCOTE SURGERY,RFS
C81033,SHIRES HEALTHCARE,RFS
C81034,STEWART MEDICAL CENTRE,RFS
C81035,VILLAGE SURGERY,RFS
C81036,FRIAR GATE SURGERY,RFS
C81037,ASHBOURNE MEDICAL PRACTICE,RFS
C81038,WHITEMOOR MEDICAL CENTRE,RFS
C81039,EYAM SURGERY,RFS
C81040,PARK LANE SURGERY,RFS
C81041,WELBECK ROAD HEALTH CENTRE,RFS
