ODS,Organisation,ClosedDate,PartyKey,ASID,Supplier,Product,Version,EndpointCreated,CCGCode,CCG
emis_with_pkb_and_econsult,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_all_silvers,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_notifications_prompt_enabled,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_pkb,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_cie,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_secondary_care_view,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_my_care_view,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_gncr,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
emis_with_substrakt,EMIS practice 1,,A81035-814092,124544614017,EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS),EMIS Web,Config 6 LM with GPES,20130624,00M,NHS SOUTH TEES CCG
tpp_with_pkb_and_covid_pass,TPP practice 1,,YGA-0021074,285699981046,THE PHOENIX PARTNERSHIP,SystmOne,601 Core GP2GPLM EPS2(AS),20140121,00K,NHS HARTLEPOOL AND STOCKTON-ON-TEES CCG
vision_with_pkb,Vision practice 1,,A81023-805763,487384791017,IN PRACTICE SYSTEMS LTD,Vision 3,DLM 380 QMT 3101 CONFIG 7,20110217,00M,NHS SOUTH TEES CCG
fake_with_substrakt,FAKE SANDPIT SUPPLIER,,A81035-814092,1.25E+11,FAKE SUPPLIER,FakeGpSoc,FakeGpSoc1,20200323,00M,NHS SOUTH TEES CCG
fake_with_pkb,FAKE SANDPIT SUPPLIER,,A81035-814092,1.25E+11,FAKE SUPPLIER,FakeGpSoc,FakeGpSoc1,20200323,00M,NHS SOUTH TEES CCG
